acceptedNameParent
Malaxis roblesgiliana
Acalypha michoacanensis
Lithophragma maximum
Litsea pedicellata
Lyrocarpa xanti
Arenaria mexicana
Anthurium huautlense
Opuntia eichlamii
Asplenium trichomanes
Dryopteris filix-mas
Opuntia lasiacantha
Opuntia littoralis
Selaginella tuberosa
Opuntia macrocentra
Opuntia macrorhiza
Blechnum wardiae
Vittaria flavicosta
Opuntia ritteri
Arceuthobium verticilliflorum
Paspalum tolucense
Physalis parvianthera
Prunus zinggii
Pseudotsuga menziesii
Hazardia stenolepis
Asclepias circinalis
Hecastocleis shockleyi
Asclepias conzattii
Asclepias cordifolia
Asclepias crocea
Asclepias cryptoceras
Psidium friedrichsthalianum
Helenium autumnale
Helenium bolanderi
Helenium brevifolium
Asclepias cutleri
Helenium elegans
Helenium flexuosum
Asclepias eastwoodiana
Helenium laciniatum
Asclepias emoryi
Helenium mexicanum
Helenium puberulum
Psidium guineense
Helenium quadridentatum
Helenium scorzonerifolium
Helenium thurberi
Helenium vernale
Asclepias gentryi
Helianthella mexicana
Helianthella microcephala
Helianthella parryi
Helianthella quinquenervis
Helianthella uniflora
Psiguria triphylla
Psiguria warscewiczii
Asclepias hirtella
Psilactis brevilingulata
Psilactis tenuis
Psilocarphus brevissimus
Asclepias hypoleuca
Psilocarphus elatior
Psilochilus macrophyllus
Asclepias incarnata
Psilostrophe bakeri
Psilostrophe cooperi
Psilostrophe sparsiflora
Psilostrophe tagetina
Psilostrophe villosa
Psilotum nudum
Asclepias jaliscana
Psittacanthus mayanus
Psittacanthus sonorae
Asclepias labriformis
Asclepias leptopus
Psorothamnus arborescens
Psorothamnus emoryi
Psorothamnus fremontii
Psorothamnus kingii
Psorothamnus schottii
Psorothamnus scoparius
Psorothamnus spinosus
Psorothamnus thompsoniae
Asclepias masonii
Psychotria aguilarii
Asclepias mcvaughii
Asclepias mirifica
Asclepias nummularioides
Psychotria calophylla
Psychotria chagrensis
Psychotria clivorum
Asclepias pringlei
Asclepias prostrata
Asclepias pseudorubricaulis
Asclepias pumila
Psychotria flava
Asclepias rusbyi
Asclepias ruthiae
Asclepias scaposa
Asclepias scheryi
Asclepias senecionifolia
Asclepias sperryi
Asclepias standleyi
Asclepias subaphylla
Asclepias subverticillata
Psychotria ligustrifolia
Psychotria limonensis
Abutilon dugesii
Psychotria lundellii
Asclepias texana
Psychotria marginata
Psychotria mexiae
Asclepias tuberosa
Psychotria panamensis
Asclepias vestita
Asclepias vinosa
Asclepias welshii
Psychotria sarapiquensis
Asclepias woodsoniana
Asclepias zanthodacryon
Psychotria subsessilis
Psychotria tenuifolia
Heliopsis annua
Heliopsis buphthalmoides
Heliopsis parvifolia
Heliopsis procumbens
Asemeia grandiflora
Ptelea crenulata
Ptelea trifoliata
Hemizonella minima
Asimina incana
Pteridium arachnoideum
Pteridium caudatum
Asimina obovata
Asimina pulchella
Asimina rugelii
Pteris biaurita
Asimina tetramera
Askellia elegans
Hesperevax caulescens
Pteris longifolia
Pteris pungens
Heterosperma pinnatum
Pterocarpus acapulcensis
Heterotheca grandiflora
Heterotheca inuloides
Pterocarpus officinalis
Hidalgoa ternata
Pterolepis stenophylla
Ptilagrostis porteri
Ptilimnium nuttallii
Hieracium abscissum
Pulsatilla multiceps
Pulsatilla occidentalis
Hieracium alpinum
Pycnanthemum albescens
Pycnanthemum beadlei
Pycnanthemum californicum
Pycnanthemum curvipes
Pycnanthemum flexuosum
Pycnanthemum floridanum
Pycnanthemum incanum
Pycnanthemum montanum
Pycnanthemum muticum
Pycnanthemum pycnanthemoides
Pycnanthemum torreyi
Pyrola asarifolia
Hieracium argutum
Pyrrocoma apargioides
Pyrrocoma clementis
Pyrrocoma hirta
Pyrrocoma howellii
Pyrrocoma insecticruris
Pyrrocoma integrifolia
Pyrrocoma liatriformis
Pyxidanthera brevifolia
Quararibea funebris
Quararibea yunckeri
Quercus acherdophylla
Quercus ajoensis
Quercus albocincta
Quercus alpescens
Quercus arizonica
Quercus arkansana
Quercus austrina
Hieracium umbellatum
Ranunculus austro-oreganus
Schaefferia oaxacana
Nabalus altissimus
Stenocactus boedekerianus
Astragalus applegatei
Stevia karwinskyana
Trichilia minutiflora
Astranthium reichei
Carex ixtapalucensis
Coreocarpus ixtapanus
Sedum botterii
Dahlia congestifolia
Evolvulus choapanus
Erigeron nacoriensis
Hymenocallis portamonetensis
Lasianthaea gentryi
Polystichum kwakiutlii
Trimezia sobolifera
Bolboschoenus maritimus
Rubus pringlei
Bulbostylis barbata
Carex vernacula
Carex tribuloides
Bulbostylis ciliatifolia
Eugenia cantuana
Bulbostylis juncoides
Carlowrightia lindauiana
Carex adelostoma
Carex aestivalis
Carex albolutescens
Carex alopecoidea
Echeveria palmeri
Echeveria harmsii
Carex amphibola
Carex amplifolia
Carex anthoxanthea
Carex aquatilis
Carex arcta
Carex arctata
Carex argyrantha
Bastardiastrum cinctum
Carex assiniboinensis
Carex atherodes
Bastardiastrum gracile
Bastardiastrum hirsutiflorum
Draba streptobrachia
Draba standleyi
Bastardiastrum incanum
Draba rectifructa
Bastardiastrum tricarpellatum
Carex aurea
Carex aureolensis
Rubus allegheniensis
Bastardiastrum wissaduloides
Carex baltzellii
Carex barbarae
Stanleya albescens
Stanleya bipinnata
Stanleya confertiflora
Stanleya elata
Stanleya pinnata
Carex bicolor
Sibara angelorum
Sibara filifolia
Sibara laxa
Pitcairnia saxicola
Carex blanda
Carex bolanderi
Thelypodiopsis ambigua
Thelypodiopsis aurea
Thelypodiopsis divaricata
