concatenatedName,TropicosNameID,id,cardinality,canonicalstem,canonicalsimple,canonicalfull,authorship,year,quality
Achnatherum × bloomeri (Bol.) Barkworth,25553273,ee145b8e-fd61-5f0c-b8cc-685f58f1416f,2,Achnatherum bloomer,Achnatherum bloomeri,Achnatherum × bloomeri,(Bol.) Barkworth,,2
Agave × ajoensis W.C. Hodgs.,50191874,1cc79153-d7ae-5505-9f2b-3ad0dc7cc48c,2,Agave aioens,Agave ajoensis,Agave × ajoensis,W.C. Hodgs.,,2
Agave × arizonica Gentry & J.H. Weber,1200373,a3e303d9-139b-5b20-9542-4b56e176682f,2,Agave arizonic,Agave arizonica,Agave × arizonica,Gentry & J.H. Weber,,2
Agave × glomeruliflora (Engelm.) A. Berger,1200380,d0719c20-5327-58ad-906d-c5a0c88e83b1,2,Agave glomeruliflor,Agave glomeruliflora,Agave × glomeruliflora,(Engelm.) A. Berger,,2
"Agave × madrensis Villarreal, Ram.-Gam. & A.E. Estrada",100457565,51e90b04-987a-5ab4-9136-0ebd9d8c0afd,2,Agave madrens,Agave madrensis,Agave × madrensis,"Villarreal, Ram.-Gam. & A.E. Estrada",,2
Agoseris × elata (Nutt.) Greene (pro sp.),2723693,666d931a-27c2-5abc-9396-6edc0a8ccd42,2,Agoseris elat,Agoseris elata,Agoseris × elata,(Nutt.) Greene,,4
Ambrosia × platyspina (Seaman) Strother & B.G. Baldwin,50244636,831ab68f-1339-53f7-80da-550be587e52c,2,Ambrosia platyspin,Ambrosia platyspina,Ambrosia × platyspina,(Seaman) Strother & B.G. Baldwin,,2
Anemia × paraphyllitidis Mickel,26600028,7753b8a5-4f65-5992-bf0d-d7f9545aac1e,2,Anemia paraphyllitid,Anemia paraphyllitidis,Anemia × paraphyllitidis,Mickel,,2
Apocynum × floribundum Greene,1804594,d78477a1-bbef-58b7-af82-176d3fec8258,2,Apocynum floribund,Apocynum floribundum,Apocynum × floribundum,Greene,,2
Asplenium × biscayneanum (D.C. Eaton) A.A. Eaton,26602482,356a4ccb-8f9c-5db7-adaa-b82f32596bf1,2,Asplenium biscaynean,Asplenium biscayneanum,Asplenium × biscayneanum,(D.C. Eaton) A.A. Eaton,,2
Asplenium × curtissii Underw.,26602490,416ee605-f31c-55e9-8376-a723d252c6ba,2,Asplenium curtiss,Asplenium curtissii,Asplenium × curtissii,Underw.,,2
Asplenium × heteroresiliens W.H. Wagner,26602501,9bd45ed4-2c13-546b-886c-6380884e4648,2,Asplenium heteroresiliens,Asplenium heteroresiliens,Asplenium × heteroresiliens,W.H. Wagner,,2
